participant,Neptun:1,Computer_task:1,Challengescenario:1,Failurescenario:1,Failurescenario:2,Criticismscenario:1,Criticismscenario:2,IQ1:1,IQ2:1,FMS1:1,FMS2:1,FMS3:1,FMS4:1,CrMS1:1,CrMS2:1,CrMS3:1,CrMS4:1,ChMS1:1,ChMS2:1,ChMS3:1,ChMS4:1,Ego1:1,Ego2:1,Ego3:1,Ego4:1,Ego5:1,Ego6:1,Ego7:1,Ego8:1,Ego9:1,Ego10:1,Ego11:1,university:1,gender:1,age:1,father:1,mother:1,feedback:1,TIME_start,TIME_end,TIME_total
s.eece635b-1899-4375-81d8-1c4b4a638322.txt,FO9J9B,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-23-13-46,"",""
s.b9baa3ba-223d-4533-ad41-e32c5db39ace.txt,EKZY1C,"",2,3,4,3,4,2,2,4,4,2,2,4,4,2,2,5,5,2,2,5,5,3,4,5,5,4,5,6,5,5,ELTE BGGYK,1,21,3,4,"",2020-03-24-11-48,2020-03-24-12-07,19,
s.4eab42cb-a3e0-437c-a52b-e6c33ac3b9fe.txt,ORVYBL,"",2,3,5,3,5,3,3,4,5,2,2,6,5,2,2,6,5,2,2,6,6,6,6,6,4,4,6,6,6,6,Eötvös Loránd Tudományegyetem,1,22,4,4,"",2020-04-02-15-49,2020-04-02-16-02,13,
s.4b681216-7220-473a-994d-882282018012.txt,wk7i8m,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-23-15-37,"",""
s.c58b6349-4159-4e7c-b0b9-6e6f3c45f860.txt,C6GGX3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-04-02-10-17,"",""
s.2763addf-520f-4878-a423-cafaa198591e.txt,ES92MN,"",1,5,3,4,2,2,2,3,2,4,4,3,3,2,5,3,3,3,3,2,5,6,3,4,1,2,4,3,4,5,Eötvös Lóránd Tudományegyetem ,1,19,4,4,"",2020-04-02-13-53,2020-04-02-14-08,15,
s.c56c793a-d9fe-44d5-94a5-5cedd540d3b1.txt,GJ4I2K,"",1,3,3,2,4,3,4,1,5,2,3,5,5,2,3,5,5,3,2,5,3,3,3,5,3,5,5,5,5,4,Eötvös Loránd Tudományegyetem,1,20,2,2,"",2020-04-02-11-40,2020-04-02-12-02,22,
s.5f5091f3-ac41-4794-8fe1-6f1346f85de8.txt,OE9A7M,"",1,3,4,2,4,4,3,2,3,3,4,4,4,3,3,4,4,3,2,4,4,4,4,4,3,3,5,5,5,5,ELTE,1,20,2,2,"",2020-04-02-10-37,2020-04-02-11-00,23,
s.b7c999ff-7ba9-4364-a603-9380d04dd593.txt,PWHO53,"",2,2,4,1,5,1,1,4,4,1,3,4,4,1,1,5,5,1,1,6,6,5,6,6,4,3,5,3,6,5,Eötvüs Loránd Tudományegyetem,1,19,2,4,"",2020-04-02-18-44,2020-04-02-19-05,21,
s.fa1eeee3-b951-43a6-b09d-d6f4ddced2aa.txt,Q7QJ0Q,"",1,4,4,2,3,2,1,3,3,2,4,4,3,2,3,3,4,2,3,3,3,3,2,4,2,3,5,5,5,4,ELTE,1,22,2,2,"",2020-04-02-12-16,2020-04-02-12-43,27,
s.0a063ad9-7a47-43aa-8947-59b3ac3e065a.txt,I1G8XI,"",2,3,4,3,4,3,3,5,4,2,4,5,4,3,2,5,6,2,3,4,4,5,4,6,6,5,4,4,5,4,ELTE,1,19,4,4,"",2020-04-02-10-39,2020-04-02-10-52,13,
s.17b8f058-a52d-4da0-8de9-68654de70d62.txt,X0RMNT,"",2,1,5,1,5,1,3,5,6,1,2,5,5,1,1,5,6,1,1,5,6,3,3,5,5,6,5,5,5,4,Eötvös Loránd Tudományegyetem,1,23,4,2,Nincs,2020-04-04-11-44,2020-04-04-12-04,20,
s.1f905baa-f292-4c3f-b007-0a4a4cd93259.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-04-07-17-57,"",""
s.752b825e-f598-49b9-8487-6b2182c1d659.txt,U0MBDH,"",2,2,5,2,5,3,3,3,5,2,1,5,5,2,2,5,4,2,2,4,4,4,6,6,5,5,5,4,4,4,ELTE,2,23,2,4,"",2020-04-03-22-36,2020-04-03-22-54,18,
s.892a4215-eb09-4191-be4f-44102f4e001f.txt,P6BV8R,"",1,3,4,3,4,3,3,2,3,4,5,3,3,4,4,3,4,3,4,4,1,4,4,4,3,2,3,5,5,6,ELTE,1,20,2,2,"",2020-04-02-12-21,2020-04-02-12-34,13,
s.367f2bc1-21f5-42bc-a509-c34fa7f67c23.txt,X0MDE8,"",1,3,3,3,3,2,2,4,4,2,4,4,2,3,3,4,4,2,4,4,6,5,4,5,4,4,4,3,2,3,ELTE,2,21,4,2,"",2020-03-23-18-29,2020-03-23-19-03,34,
s.ff9175de-56d5-4c67-b5b9-f235ffe9619f.txt,MU44JL,"",1,5,2,5,2,2,3,1,1,3,5,1,1,6,6,1,3,2,6,1,1,1,3,1,1,2,6,1,3,4,ELTE,1,25,4,4,"",2020-04-02-17-37,2020-04-02-17-52,15,
s.73026365-10c2-4063-bcb1-ecbd309cff25.txt,R7DQH8,"",2,4,4,2,1,1,1,2,5,2,2,5,5,1,2,5,5,1,1,6,5,5,5,6,4,3,4,6,5,5,Eötvös Loránd Tudományegyetem ,1,20,2,2,"",2020-04-05-18-47,2020-04-05-19-05,18,
s.71c7e09e-2ac8-462a-a909-4354b4119199.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-04-03-09-00,"",""
s.6d9f1454-e7fd-4fdf-b44d-bad7b77a013b.txt,LDNXB3,"",2,4,5,3,5,2,3,5,4,1,3,4,4,3,3,5,5,3,2,5,6,6,5,6,4,3,5,5,5,5,ELTE,1,23,2,4,"",2020-04-03-09-46,2020-04-03-10-13,27,
s.1f2a0b98-5827-43ee-985a-3aabe3f4b289.txt,WIRW0P,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-04-05-10-19,"",""
s.4177203e-6011-4579-99ce-b12fb8fc402e.txt,TTN2LO,"",1,4,5,3,4,2,2,3,3,3,2,4,4,3,3,4,4,3,3,4,4,4,5,4,2,2,4,4,4,3,ELTE,1,20,4,4,"",2020-03-23-14-26,2020-03-23-14-41,15,
s.e09a72dc-1d99-4518-a272-cb18621cbdef.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-24-10-37,"",""
s.4175073c-1459-4219-8d43-4e1eebad82cc.txt,Z4K346,"",1,4,2,4,2,3,3,3,3,2,2,3,3,4,4,4,4,3,3,4,5,3,4,5,3,3,5,4,4,3,ELTE,1,21,2,2,"",2020-03-26-14-14,2020-03-26-14-29,15,
s.927c3985-bac4-4fbb-8e7c-0ae7f5c470a8.txt,JH3Z00,"",2,3,4,3,4,2,2,4,3,2,3,4,4,3,4,4,4,3,1,4,6,4,4,4,2,2,2,4,4,4,ELTE,2,23,2,2,"",2020-04-02-10-11,2020-04-02-10-27,16,
s.4e191d95-a3a2-4d98-b549-cceb30091ec1.txt,S24Q2W,"",2,4,3,2,4,3,2,2,3,2,4,3,4,2,2,3,3,3,3,3,2,2,3,4,4,2,6,5,6,5,ELTE,2,23,4,4,"",2020-04-04-07-56,2020-04-04-08-11,15,
s.9289df8b-faab-4e58-aba1-a467f78f81a9.txt,APF4I1,"",2,2,4,1,4,3,4,3,5,2,3,5,5,1,2,6,6,2,2,5,6,5,5,6,5,3,4,4,4,5,Eötvös Loránd Tudományegyetem,1,21,2,4,"nagyon élvezetes, viszont én szívesen kipróbálnám úgy is, hogy 3 kategória szavait kell figyelni, jóval nagyobb kihívás lenne, de szerintem élvezetes lenne kipróbálni",2020-04-02-10-08,2020-04-02-10-24,16,
s.26a9358a-8d5a-492c-b486-be19aa0c843c.txt,E290NI,"",1,"","","","","","",1,"","","","","","","","","","","","",6,"","","","","","","","","","","","","","","",2020-03-24-11-01,"",""
s.d5517b08-3eab-47d6-a080-171fad5be45c.txt,I3ZRUL,"",1,4,3,4,3,2,2,2,3,4,5,4,3,4,4,3,4,3,3,4,4,2,4,4,2,1,4,5,5,5,Eötvös Lóránd Tudományegyetem,1,19,2,2,"",2020-04-05-20-30,2020-04-05-20-49,19,
s.d403463c-39a4-461c-aa5a-0c0a3be2e6f8.txt,M50AC7,"",1,1,2,1,5,1,1,1,4,2,5,2,3,4,3,3,2,1,4,4,2,3,5,4,1,2,5,6,5,5,ELTE PPK,1,23,2,2,"",2020-03-25-11-30,2020-03-25-11-47,17,
s.7eb94a13-f34f-4cfb-a6db-add1a7dbff26.txt,X4DRAU,"",2,1,4,1,4,3,2,2,3,3,3,4,3,3,3,4,3,3,3,4,3,3,5,5,4,2,4,4,5,4,ELTE,1,21,3,4,"",2020-04-02-21-35,2020-04-02-21-50,15,
s.051a12ac-8793-48b2-885e-43b6b7d6476c.txt,XFDGZX,"",1,3,5,3,4,2,2,4,4,2,2,4,4,2,2,4,5,2,2,4,4,3,3,4,4,4,5,5,5,6,Eötvös Loránd Tudományegyetem,1,20,4,4,"",2020-04-02-20-25,2020-04-02-20-39,14,
s.bd2be3f3-9de4-4c65-83d0-18e51597da18.txt,L5B7MT,"",1,3,4,3,2,3,3,4,4,4,2,2,3,4,4,5,4,3,4,5,6,4,6,5,4,3,6,4,3,3,ELTE,2,21,3,2,"",2020-04-02-10-34,2020-04-02-10-52,18,
s.a2c90cd3-c812-4740-a8a2-bd7ad0ffc062.txt,XFDGZX,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-04-05-14-27,"",""
s.3dedff8a-05c5-44c2-a9c7-4affd86bcc09.txt,CG2504,"",2,3,4,2,4,4,3,3,4,2,3,4,4,3,2,4,5,3,2,5,5,5,5,4,4,3,5,5,5,5,ELTE PPK,1,19,3,3,"",2020-04-03-22-02,2020-04-03-22-20,18,
s.276c771b-394e-4642-b681-45b608bbf12d.txt,U0US94,"",1,2,4,3,5,5,2,3,6,2,2,4,6,2,1,6,6,1,1,6,1,1,6,6,6,1,6,6,4,6,ELTE,2,20,3,4,"",2020-03-23-14-00,2020-03-23-14-21,21,
s.da640694-6ed7-440e-b9aa-9dc7c2c6d2ea.txt,H87F38,"",2,2,3,1,5,2,2,3,3,3,3,4,4,3,2,4,4,2,2,4,5,4,4,5,3,3,4,4,4,3,ELTE,1,23,2,3,"",2020-04-06-18-49,2020-04-06-19-05,16,
s.15f5667c-0bdc-40bb-91de-7a3866ec1f8f.txt,vub8vd,"",1,3,3,3,4,2,3,3,4,3,3,4,4,3,4,4,4,3,3,4,2,3,4,5,3,4,4,4,4,4,Eötvös Loránd Tudományegyetem,1,21,4,3,"",2020-04-02-10-07,2020-04-02-10-23,16,
s.f6322eef-464d-479e-ad90-79d62aef54f1.txt,JB33L1,"",1,5,4,5,5,3,3,3,3,2,4,4,4,2,4,4,5,3,3,3,1,5,3,3,3,4,5,3,3,5,ELTE,1,23,2,3,"",2020-04-02-12-52,2020-04-02-13-11,19,
s.57119f7e-e245-4520-b5cd-c00868a97916.txt,XSGLSM,"",2,3,5,1,5,2,2,3,3,3,3,5,4,3,2,4,4,2,2,4,5,4,4,5,4,3,5,5,5,4,ELTE,1,20,4,4,"",2020-04-02-10-57,2020-04-02-11-12,15,
s.eec174b4-5a57-4aaa-b557-130845bb73f7.txt,T12SSG,"",1,3,3,2,4,3,3,3,3,3,3,4,4,3,2,4,4,3,3,3,3,2,3,3,4,5,4,3,5,5,Eötvös Loránd Tudományegyetem,1,21,2,2,"",2020-04-02-14-38,2020-04-02-14-56,18,
s.f2440343-6a83-42a9-8284-b5f6fafb1aae.txt,LNVYU3,"",2,2,4,1,5,2,2,4,5,2,2,5,5,2,2,6,6,1,1,5,5,5,5,6,5,4,5,5,6,6,ELTE és Kodolányi János Egyetem,1,21,2,2,"",2020-04-03-11-13,2020-04-03-11-34,21,
s.6279be1e-3840-48ca-a4ad-6bcbd8797d53.txt,MA5P8X,"",1,5,5,3,5,2,3,4,5,2,3,5,5,3,3,5,5,3,3,4,6,5,5,5,4,3,5,4,4,6,ELTE BTK,1,19,4,4,"",2020-04-02-17-13,2020-04-02-17-42,29,
s.e0522e52-6e73-4e00-967c-872efda8da5c.txt,NG7V8N,"",1,3,3,1,4,2,2,1,3,4,3,4,4,2,3,4,4,3,3,3,3,3,3,4,3,3,3,2,3,5,ELTE,1,30,4,3,"",2020-04-02-17-45,2020-04-02-18-06,21,
s.a60620da-82dc-4815-93af-a7caf9c382f9.txt,HX3H8P,"",1,3,2,4,3,3,2,2,3,2,4,2,3,3,4,4,5,2,3,3,4,1,2,4,4,2,5,3,4,4,ELTE,1,19,2,4,"",2020-03-23-13-42,2020-03-23-14-01,19,
s.82ca7847-90f0-49d1-a20b-5b864a9b6cff.txt,E290NI,"",1,3,1,1,3,1,1,1,2,4,5,3,3,3,4,6,5,1,1,3,6,1,6,5,3,2,4,4,3,6,ELTE,1,22,3,4,Túl jó internetet igényel.,2020-03-24-11-35,2020-03-24-11-53,18,
s.a15e50e6-1634-4cdb-8664-02d005d46389.txt,IT8DOO,"",2,2,4,2,3,3,3,2,2,3,3,4,3,3,3,5,5,2,2,4,4,2,4,5,3,2,4,3,4,4,ELTE ,1,22,4,4,"",2020-04-02-10-26,2020-04-02-10-42,16,
s.0e19a47f-e362-428f-9f8e-7d4c70c71f16.txt,E290NI,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-24-10-38,"",""
s.3e2687ab-a924-454e-9464-555332397189.txt,DFURAI,"",1,4,4,4,2,1,1,4,4,3,5,4,2,4,4,5,4,3,3,4,5,3,4,5,3,2,4,4,4,4,ELTE,1,22,2,1,"",2020-03-25-19-34,2020-03-25-19-50,16,
s.783df499-3fcf-4ee3-b731-d436cc61dc7a.txt,RIV6K1,"",1,3,3,3,3,1,1,2,2,3,4,3,3,4,4,3,4,3,3,2,1,3,4,3,2,2,5,2,5,3,ELTE,1,23,2,4,"",2020-04-02-11-30,2020-04-02-11-49,19,
s.5fded059-eb16-4b0e-ae4e-9369a4667d0a.txt,BE24TN,"",1,3,4,3,4,3,3,2,4,3,2,4,4,4,3,4,4,2,3,4,4,4,4,4,2,1,4,4,4,4,ELTE,1,27,4,4,"",2020-04-02-13-35,2020-04-02-13-51,16,
s.de3ecdf2-7814-47ae-8488-6719be1aa486.txt,BM0VX1,"",1,2,2,2,4,5,4,5,5,3,4,3,4,3,2,3,3,3,4,3,6,5,4,5,3,3,6,5,5,2,ELTE,1,19,4,4,"",2020-04-03-14-57,2020-04-03-15-13,16,
s.9760dcb8-36ea-4704-b5d8-3c1e75b91b94.txt,GX5DJY,"",1,3,4,3,5,1,1,2,3,3,4,3,4,2,4,4,4,3,3,4,4,4,4,4,4,3,4,4,5,4,ELTE,1,29,2,2,-,2020-04-02-11-40,2020-04-02-11-56,16,
