participant,Neptun,Computer_task,thanks,Challengescenario,Failurescenario,Criticismscenario,IQ1,IQ2,FMS1,FMS2,FMS3,FMS4,CrMS1,CrMS2,CrMS3,CrMS4,ChMS1,ChMS2,ChMS3,ChMS4,Ego1,Ego2,Ego3,Ego4,Ego5,Ego6,Ego7,Ego8,Ego9,Ego10,Ego11,university,gender,age,father,mother,feedback,thanks2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.eece635b-1899-4375-81d8-1c4b4a638322.txt,9873,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",44549,2020-03-23-13-46,"",""
s.b9baa3ba-223d-4533-ad41-e32c5db39ace.txt,29424,"",4142,6337,14656,8487,5361,4574,5765,3220,18857,3473,5196,6128,5007,3580,3758,1799,4779,2897,7528,58346,5816,4160,5156,4419,4103,2666,4583,12430,3605,11876,2099,3657,4301,1787,3349,4260,36658,2020-03-24-11-48,2020-03-24-12-07,19
s.4eab42cb-a3e0-437c-a52b-e6c33ac3b9fe.txt,6461,"",5904,6364,15189,9281,12863,5062,4563,3582,4801,4323,4317,3611,7437,4853,4502,5434,4172,3875,3698,3124,6672,2171,3837,4282,4681,3879,2856,3341,4601,13392,2335,5082,3290,3047,4274,6609,9254,2020-04-02-15-49,2020-04-02-16-02,13
s.4b681216-7220-473a-994d-882282018012.txt,9501,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",20326,2020-03-23-15-37,"",""
s.c58b6349-4159-4e7c-b0b9-6e6f3c45f860.txt,6227,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11901,2020-04-02-10-17,"",""
s.2763addf-520f-4878-a423-cafaa198591e.txt,8107,"",3727,6117,14296,15793,21757,5030,3406,4818,5910,4961,5486,6070,4168,3428,3474,4334,3276,3638,3545,4682,6343,4468,3760,8866,3074,5216,5106,4594,4989,13766,2867,7693,3781,2389,2755,1553,5426,2020-04-02-13-53,2020-04-02-14-08,15
s.c56c793a-d9fe-44d5-94a5-5cedd540d3b1.txt,19800,"",6828,27163,30260,28735,20671,10606,10503,4719,8551,9760,7429,6887,7507,29291,5019,7940,8651,5412,6180,9067,10850,6180,3780,5835,7432,7515,3620,9635,4982,25559,3040,6292,4988,2746,9613,9402,156974,2020-04-02-11-40,2020-04-02-12-02,22
s.5f5091f3-ac41-4794-8fe1-6f1346f85de8.txt,44255,"",7312,28772,77316,20452,7621,5836,7218,5573,9574,10997,5636,4835,11515,3758,4173,4642,4080,6020,4145,4360,5714,4496,3942,5479,5744,12864,6230,42008,4000,5242,3576,6402,4065,2682,4821,5134,41912,2020-04-02-10-37,2020-04-02-11-00,23
s.b7c999ff-7ba9-4364-a603-9380d04dd593.txt,13925,"",4860,72388,26525,26760,9134,5428,7304,4646,28762,15261,4124,18241,7521,29480,13596,8684,11501,7941,7143,4992,31159,5482,3459,45248,8229,7310,5911,8122,6859,46613,3438,3974,6499,2570,4184,5697,19045,2020-04-02-18-44,2020-04-02-19-05,21
s.fa1eeee3-b951-43a6-b09d-d6f4ddced2aa.txt,694822,"",7867,4511,12259,23349,6144,7059,4951,6790,3210,14623,4424,3210,3089,3908,6286,4806,3366,5228,9234,7757,9191,5379,3044,4289,3779,4515,5634,5980,4318,6455,2090,3250,4403,1545,2112,1056,17366,2020-04-02-12-16,2020-04-02-12-43,27
